"","NAME","CONTRACT_START","CONTRACT_END","AVG_SALARY","AGE","GP","WR","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","MARGIN","sum"
"1","Wesley Matthews",2019,2020,2564753,32,69,0.391304347826087,30.304347826087,12.1739130434783,4.04347826086957,10.1159420289855,40,2.17391304347826,5.84057971014493,37.2,1.91304347826087,2.36231884057971,81,0.463768115942029,2,2.46376811594203,2.31884057971015,1.31884057971015,0.782608695652174,0.246376811594203,2.31884057971015,-1.30434782608696,NA
"2","Brook Lopez",2015,2017,21165675,27,72,0.472222222222222,29.1666666666667,17.1666666666667,7.02777777777778,13.7083333333333,51.3,0.0138888888888889,0.138888888888889,10,3.09722222222222,3.80555555555556,81.4,2.97222222222222,4.45833333333333,7.43055555555556,0.694444444444444,1.44444444444444,0.597222222222222,1.75,2.86111111111111,-1.44444444444444,NA
"4","Markieff Morris",2015,2018,8143323.5,25,82,0.475609756097561,31.4756097560976,15.3414634146341,6.24390243902439,13.4146341463415,46.5,0.695121951219512,2.18292682926829,31.8,2.15853658536585,2.82926829268293,76.3,1.34146341463415,4.82926829268293,6.17073170731707,2.34146341463415,2.07317073170732,1.23170731707317,0.475609756097561,2.98780487804878,1.28048780487805,NA
"6","Austin Rivers",2015,2016,7055398,22,76,0.605263157894737,20.5657894736842,6.97368421052632,2.67105263157895,6.52631578947368,40.9,0.513157894736842,1.72368421052632,29.8,1.11842105263158,1.65789473684211,67.5,0.355263157894737,1.64473684210526,2,2.03947368421053,0.855263157894737,0.631578947368421,0.184210526315789,1.92105263157895,-1.68421052631579,NA
"7","Wayne Ellington",2016,2017,6135000,28,76,0.236842105263158,21.25,7.71052631578947,2.86842105263158,7.38157894736842,38.9,1.26315789473684,3.52631578947368,35.8,0.710526315789474,0.828947368421053,85.7,0.263157894736842,2.02631578947368,2.28947368421053,1.09210526315789,0.592105263157895,0.631578947368421,0.0657894736842105,1.07894736842105,-4.23684210526316,NA
"8","JaMychal Green",2019,2020,4767000,29,65,0.476923076923077,21.0923076923077,9.4,3.53846153846154,7.32307692307692,48.3,1.09230769230769,2.70769230769231,40.3,1.23076923076923,1.55384615384615,79.2,1.6,4.69230769230769,6.29230769230769,0.769230769230769,1.33846153846154,0.692307692307692,0.523076923076923,2.96923076923077,-3.29230769230769,NA
"9","Kyle O'Quinn",2015,2018,4051312.5,25,51,0.294117647058824,16.156862745098,5.76470588235294,2.33333333333333,4.74509803921569,49.2,0.235294117647059,0.843137254901961,27.9,0.862745098039216,1.11764705882353,77.2,0.901960784313726,3,3.90196078431373,1.15686274509804,1.07843137254902,0.607843137254902,0.764705882352941,2.15686274509804,-2.41176470588235,NA
"10","Trevor Ariza",2014,2017,8e+06,28,77,0.532467532467532,35.3636363636364,14.3766233766234,5.05194805194805,11.0779220779221,45.6,2.33766233766234,5.74025974025974,40.7,1.93506493506494,2.50649350649351,77.2,1.28571428571429,4.88311688311688,6.16883116883117,2.48051948051948,1.71428571428571,1.63636363636364,0.25974025974026,2.32467532467532,2.54545454545455,NA
"11","Stephen Curry",2013,2016,1.1e+07,25,78,0.576923076923077,38.2435897435897,22.8974358974359,8.02564102564103,17.7948717948718,45.1,3.48717948717949,7.69230769230769,45.3,3.35897435897436,3.73076923076923,90,0.756410256410256,3.26923076923077,4.02564102564103,6.91025641025641,3.07692307692308,1.61538461538462,0.153846153846154,2.53846153846154,1.70512820512821,NA
"12","Langston Galloway",2017,2019,7e+06,25,74,0.391891891891892,20.1891891891892,7.90540540540541,2.7972972972973,7.36486486486486,38,1.62162162162162,4.16216216216216,39,0.689189189189189,0.864864864864865,79.7,0.364864864864865,1.74324324324324,2.10810810810811,1.25675675675676,0.621621621621622,0.621621621621622,0.0810810810810811,1.2972972972973,-0.810810810810811,NA
"13","Solomon Hill",2016,2019,12500000,25,59,0.525423728813559,14.6779661016949,4.16949152542373,1.57627118644068,3.52542372881356,44.7,0.406779661016949,1.25423728813559,32.4,0.610169491525424,0.711864406779661,85.7,0.661016949152542,2.15254237288136,2.8135593220339,0.966101694915254,0.559322033898305,0.627118644067797,0.186440677966102,1.15254237288136,0.779661016949153,NA
"14","Glenn Robinson III",2015,2017,1224935,21,35,0.0571428571428571,7.45714285714286,2.08571428571429,0.742857142857143,1.91428571428571,38.8,0.142857142857143,0.542857142857143,26.3,0.457142857142857,0.685714285714286,66.7,0.428571428571429,0.685714285714286,1.11428571428571,0.314285714285714,0.314285714285714,0.171428571428571,0.0285714285714286,0.428571428571429,0.771428571428571,NA
"15","Kyle Korver",2017,2019,5708251,36,67,0.492537313432836,26.1641791044776,10.1194029850746,3.56716417910448,7.6865671641791,46.4,2.41791044776119,5.35820895522388,45.1,0.567164179104478,0.626865671641791,90.5,0.104477611940299,2.67164179104478,2.77611940298507,1.64179104477612,1.02985074626866,0.507462686567164,0.313432835820896,1.59701492537313,-2.52238805970149,NA
