,FirstBlood,WardsPlacedDiff,WardsDestroyedDiff,KillsDiff,AssistsDiff,Dragons,Heralds,TowersDestroyedDiff,GoldDiff,AvgLevelDiff,ExperienceDiff,CSdiff,JungleMinionsKilledDiff
7836,0,29,2,1,0,-1,0,0,-125,0.20000000000000018,-637,-37,20
5538,0,22,-2,1,-2,1,0,0,857,0.0,961,33,-3
1744,1,42,3,6,5,-1,0,0,2841,0.20000000000000018,858,9,-23
7394,1,64,1,2,-1,0,0,0,2278,0.5999999999999996,2211,49,4
6801,1,0,-1,4,7,1,0,0,1416,0.20000000000000018,-211,26,-22
3364,0,-5,0,-4,-8,1,-1,-1,-3465,0.0,-897,-52,31
9035,1,-5,0,4,-1,1,1,0,1655,0.5999999999999996,2014,-17,28
6823,1,-21,0,6,5,0,0,0,2975,0.0,994,11,8
4285,0,1,3,3,9,1,0,0,2566,0.5999999999999996,3097,-3,15
9708,1,-1,-2,-7,-10,-1,-1,-1,-2665,-0.20000000000000018,-900,50,-10
3667,0,2,-2,-6,-8,-1,1,0,-3244,0.0,-1208,-6,12
343,0,-37,-1,-3,-3,-1,0,0,176,0.20000000000000018,-172,50,-9
4790,1,-2,-5,-7,-8,-1,0,0,-5048,-1.1999999999999993,-4231,-49,-8
7236,0,-2,-3,-6,-6,-1,0,0,-4231,-1.0,-3158,-45,-17
6552,0,-9,1,-3,-4,1,0,0,-1605,0.0,237,-14,21
315,0,1,-1,-7,-5,1,0,-1,-5136,-1.0,-3713,-75,9
342,0,3,-2,-3,-3,1,1,0,-2022,-0.40000000000000036,-2023,-52,20
837,0,-10,0,-1,-2,1,-1,0,-1377,0.0,-180,-33,-4
5021,1,45,-1,7,8,1,1,0,4237,0.6000000000000005,2338,10,-11
5015,1,31,-5,-4,1,-1,0,0,-1725,-0.20000000000000018,-2004,-28,0
3847,1,0,1,-2,-5,-1,0,0,-2000,-0.20000000000000018,-1473,-28,2
2426,0,-189,5,0,4,1,1,0,980,0.40000000000000036,403,-17,20
8427,0,17,-1,-6,-10,1,-1,0,-3481,-0.6000000000000005,-1919,-30,27
9129,0,-12,12,7,5,0,1,0,3745,0.20000000000000018,1627,11,-5
5174,1,-1,1,1,1,0,0,0,467,0.20000000000000018,850,7,19
2701,1,-23,4,-3,2,-1,0,0,-2257,-0.8000000000000007,-2894,-34,0
9513,0,-10,-1,4,8,1,0,0,1322,0.20000000000000018,148,-13,18
3207,1,-14,3,5,6,0,0,0,2431,0.6000000000000005,1886,23,6
9592,0,1,4,3,5,0,0,0,1114,-0.39999999999999947,-1294,-9,-13
9251,1,2,1,9,5,1,0,0,4090,0.40000000000000036,2523,38,-22
6789,0,-16,3,-3,-4,-1,0,0,-1707,-0.39999999999999947,-1600,-27,-7
7126,1,3,-2,1,0,-1,0,0,-1800,-0.20000000000000018,-2200,-37,-24
8484,0,-24,5,-5,-7,-1,-1,0,-3400,-1.0,-3115,-16,-25
3474,1,-2,2,-5,-10,0,0,0,-3088,-0.39999999999999947,-2028,6,-1
7786,0,-72,2,-3,-4,0,1,0,-1255,-0.40000000000000036,-254,-11,-13
9090,0,-21,1,1,4,1,1,0,-971,-0.20000000000000018,-1447,-27,-17
726,1,-1,2,3,4,1,0,0,2430,0.20000000000000018,2023,52,4
2610,1,2,0,4,1,1,0,0,3212,0.7999999999999998,3245,84,-8
9215,0,-4,-1,-4,-7,-1,0,0,-3505,-0.40000000000000036,-1473,-13,-9
6626,0,0,-2,-4,-5,-1,-1,0,-1848,-0.40000000000000036,-1472,-5,14
5225,0,26,2,-1,-4,1,0,0,-233,0.6000000000000005,1969,4,16
3571,1,-1,1,2,4,-1,0,0,408,-0.20000000000000018,742,-29,4
1509,0,19,-1,3,3,-1,1,1,1377,0.20000000000000018,795,-18,-1
8822,1,-38,-1,2,0,-1,0,0,2873,0.5999999999999996,1850,33,20
5434,0,0,-1,2,-2,1,0,0,815,-0.20000000000000018,590,42,2
6427,1,-2,-1,-2,1,-1,0,0,-1522,-0.20000000000000018,-1611,-38,-6
226,0,16,0,-3,-6,-1,0,0,-1208,0.0,-152,-18,13
1342,1,-3,-1,9,8,0,0,0,4581,0.6000000000000005,3919,46,-13
112,0,6,-2,3,1,0,0,0,905,0.20000000000000018,1054,-38,8
18,1,2,1,1,8,-1,-1,0,882,0.20000000000000018,512,-15,-3
2869,1,14,3,1,6,-1,0,0,653,0.0,-556,5,-13
2766,0,4,-1,-6,-5,0,0,0,-3711,-0.7999999999999998,-2987,-27,0
5184,1,3,-3,7,13,1,0,0,5354,0.7999999999999998,4695,81,4
9579,1,-2,0,-1,-1,1,0,0,153,0.0,-519,10,-12
6079,0,4,-2,-2,-1,0,1,0,-1254,-0.39999999999999947,-293,27,27
9176,0,-1,-3,-6,-12,-1,0,-1,-4481,-0.40000000000000036,-1530,-42,-1
439,1,128,3,3,6,1,0,0,625,0.20000000000000018,-1035,-15,-34
3252,1,5,1,0,2,1,0,0,914,0.20000000000000018,34,-8,18
7384,0,-1,-1,2,3,-1,0,0,1621,0.20000000000000018,128,25,-1
19,0,-4,2,-4,-4,0,0,0,-3155,-0.40000000000000036,-2773,-31,-8
7141,1,2,0,1,-1,-1,0,0,1212,0.0,1107,41,-1
385,1,5,-1,-3,-2,0,0,0,-367,-0.40000000000000036,187,7,3
4939,1,4,-2,2,7,0,0,0,1042,0.0,-31,-2,-9
1060,0,13,-1,-8,-7,-1,-1,-1,-6373,-1.2000000000000002,-5156,-92,-8
5317,0,42,-1,2,6,1,0,0,1076,0.6000000000000005,1282,-24,5
947,0,-3,1,-5,-6,-1,0,0,-3921,-0.40000000000000036,-3284,-61,-10
8091,1,44,2,4,6,1,0,0,2322,0.20000000000000018,1048,1,5
934,1,2,1,0,1,1,0,0,-754,-0.20000000000000018,-729,-25,-10
4633,0,-2,-2,-2,1,1,0,0,-1949,-0.40000000000000036,-1074,-34,6
4568,0,-1,-1,5,5,1,1,0,2585,0.7999999999999998,3290,0,6
3513,1,3,-1,5,7,1,1,0,1186,0.20000000000000018,907,7,-21
9452,0,0,-1,-6,-8,-1,0,0,-2575,-0.20000000000000018,-982,-3,28
8137,0,-2,1,-8,-10,-1,0,0,-2617,-0.6000000000000005,-2322,-3,4
7288,1,-3,1,-4,-3,-1,0,0,-2944,-0.7999999999999998,-2835,-6,1
987,1,-2,1,0,1,1,1,0,-884,0.0,-471,18,-20
2724,0,-1,0,-4,-9,1,0,0,-1699,-0.20000000000000018,-364,-40,32
5608,1,-38,0,2,6,-1,0,0,1733,0.40000000000000036,862,23,-5
771,1,-20,0,2,1,1,1,1,1449,-0.40000000000000036,-530,15,-21
7339,1,9,-2,7,7,-1,1,0,2393,0.0,675,7,-24
3271,1,2,-1,-5,-10,-1,1,0,-2482,-0.6000000000000005,-2515,-3,-8
