,FirstBlood,WardsPlacedDiff,WardsDestroyedDiff,KillsDiff,AssistsDiff,Dragons,Heralds,TowersDestroyedDiff,GoldDiff,AvgLevelDiff,ExperienceDiff,CSdiff,JungleMinionsKilledDiff
1800,1,-1,1,4,7,-1,0,0,2785,0.40000000000000036,1671,18,-8
373,0,2,-1,-1,-3,1,0,0,527,0.20000000000000018,1493,62,10
6214,1,23,1,3,6,0,0,0,4242,0.40000000000000036,2348,42,23
5247,0,4,3,1,1,0,0,0,707,0.20000000000000018,1131,1,12
4962,0,4,-5,0,2,-1,0,0,-816,0.0,-27,-35,-2
6331,1,74,1,9,7,1,0,0,5344,1.1999999999999993,3793,14,5
9098,1,18,0,3,3,1,1,0,3035,1.0,3792,79,-3
4665,0,-22,0,-3,-5,-1,-1,0,-1086,0.20000000000000018,646,6,5
1321,0,-16,0,4,6,0,0,0,1947,0.40000000000000036,1396,9,3
9182,0,19,4,-4,-4,1,1,-1,-4673,-0.40000000000000036,-1225,-52,-7
6093,1,3,-2,-1,-6,0,1,1,2215,0.6000000000000005,2315,24,32
4151,1,124,1,4,-6,1,0,0,580,0.40000000000000036,2959,30,8
2654,0,-4,1,-5,-8,-1,-1,-1,-3277,-0.39999999999999947,-1680,-15,10
2714,1,108,4,4,-1,1,0,0,2558,0.39999999999999947,2349,16,29
907,0,-1,1,-5,-4,-1,0,0,-2041,-0.20000000000000018,-1090,13,0
1319,1,2,0,3,2,0,1,1,2137,0.40000000000000036,490,-6,-8
9113,1,67,2,5,5,1,0,0,1828,0.40000000000000036,2134,-1,16
9097,0,-21,-2,0,-2,0,0,0,259,0.20000000000000018,473,16,6
5347,0,-7,-1,-2,-1,1,-1,0,-2565,0.0,-1593,-28,-8
8982,1,4,0,3,4,0,1,0,1814,0.6000000000000005,1762,12,5
1869,0,13,1,-1,3,-1,0,0,-392,-0.6000000000000005,-995,-28,20
3584,0,3,-3,-4,1,0,0,0,-1015,-0.20000000000000018,-1031,26,-8
9800,0,-46,-2,0,-1,-1,0,0,-451,0.40000000000000036,336,-6,0
7312,0,-1,0,0,-2,-1,-1,0,-1495,-0.20000000000000018,-801,-22,-29
9411,0,-78,0,-5,-7,-1,0,0,-2581,-0.20000000000000018,-1304,-45,0
5423,1,2,0,1,4,1,1,0,1063,-0.20000000000000018,553,1,17
369,0,0,0,-4,-3,-1,0,0,-1889,0.0,-723,5,-7
1291,0,3,-2,1,1,0,0,0,193,0.40000000000000036,89,-19,4
