,blueWins
7836,0
5538,0
1744,0
7394,0
6801,1
3364,0
9035,1
6823,1
4285,1
9708,0
3667,0
343,0
4790,0
7236,0
6552,0
315,0
342,1
837,1
5021,1
5015,1
3847,0
2426,1
8427,0
9129,1
5174,1
2701,0
9513,1
3207,1
9592,1
9251,1
6789,0
7126,1
8484,0
3474,1
7786,1
9090,0
726,1
2610,1
9215,0
6626,0
5225,1
3571,1
1509,0
8822,1
5434,1
6427,0
226,0
1342,0
112,1
18,1
2869,0
2766,0
5184,1
9579,1
6079,1
9176,0
439,0
3252,1
7384,0
19,0
7141,0
385,0
4939,0
1060,0
5317,1
947,0
8091,1
934,0
4633,0
4568,1
3513,1
9452,0
8137,0
7288,0
987,1
2724,1
5608,0
771,1
7339,1
3271,0
6762,0
3438,0
8213,0
2390,1
8277,0
7077,1
3771,0
1307,1
5783,0
2161,1
6540,0
5093,1
5692,1
187,1
2357,0
6151,1
2711,0
4447,0
3943,0
4468,1
6297,0
1498,0
2793,1
1022,1
5634,1
9138,1
5792,1
3789,1
842,1
4985,0
6409,0
7651,0
2887,0
1457,1
9550,1
4245,0
3753,1
2537,1
7844,1
7149,0
4742,0
6082,1
8517,0
9481,0
9688,1
3768,1
3582,0
1770,0
3885,0
7215,0
7999,1
5910,0
6137,0
2613,1
1563,0
4623,1
1075,0
7371,1
7485,1
2062,1
7921,0
7924,1
1322,1
9460,0
9818,0
5766,1
6289,1
3012,0
1766,0
4491,1
4499,0
3981,0
5599,1
3162,1
2755,0
1598,0
9827,1
2379,0
8289,0
2460,0
2043,1
6784,1
8675,1
8543,0
885,0
2494,1
8929,1
1190,1
1582,0
1866,1
1116,1
7855,0
6720,0
1758,1
8397,1
4940,1
7618,0
2284,0
3390,0
1815,1
1670,0
7205,0
1855,1
5112,0
3783,1
5428,1
8702,1
6086,1
5031,1
7863,0
8679,0
7888,1
9034,1
9846,0
1526,1
7471,0
4836,0
2683,1
3454,1
843,1
9757,1
7132,1
80,0
2133,1
391,0
3974,0
744,0
6187,0
2530,1
2790,0
4270,1
6269,1
7804,1
1580,1
1706,1
7812,0
6913,0
1381,0
219,1
7558,1
3109,0
2500,1
827,0
5581,1
269,0
2893,0
8736,1
3569,0
6395,0
3392,1
2987,1
2578,1
5633,1
8174,1
1525,1
5271,0
4025,0
9532,0
2210,0
1056,1
5238,1
5327,1
3625,1
3606,1
8588,0
5610,1
5684,1
3535,0
8642,1
7486,1
636,0
6126,1
7378,0
2201,0
7513,1
556,1
3406,0
5321,1
6984,1
6424,1
7667,0
5228,0
7417,1
2444,1
4644,1
8605,1
8463,0
5139,1
3277,1
9659,0
4853,1
816,0
3052,0
8500,1
7455,1
6110,1
5715,1
2528,0
4797,1
7420,0
5165,1
1748,0
8340,0
8808,1
8502,0
1005,0
5322,1
839,1
5156,0
9866,1
2447,1
7679,0
4490,1
1703,0
2873,1
1451,0
1773,0
4575,1
3414,1
2559,0
4861,0
6181,0
740,1
6892,1
334,1
6965,0
8754,0
2514,1
6435,0
5915,0
4016,1
8420,0
703,0
2358,1
463,1
7745,1
6589,0
3935,0
1249,1
5288,1
7199,1
9072,1
2208,1
5876,1
1387,1
5466,1
2006,0
2771,1
4809,1
4058,1
9454,1
9200,1
3621,1
871,1
5226,1
359,0
979,1
87,1
4630,0
9172,0
6229,1
8760,1
8612,0
7416,1
3296,1
7290,0
6922,1
8296,0
1507,1
131,1
6316,1
2894,1
2532,0
6290,0
8302,1
4527,0
4332,1
8867,1
526,1
4909,0
1330,1
7309,1
150,0
3670,0
8026,0
2668,1
5972,0
6143,1
9202,0
5114,1
6342,1
4560,1
5505,1
895,0
6721,1
7194,0
8276,1
5582,1
6931,1
7450,1
3601,1
7270,0
4346,1
2830,1
7369,1
1405,1
3239,1
9450,0
5537,0
5058,1
2202,1
380,1
4089,1
7368,0
7186,1
9824,0
511,1
9205,1
2504,0
8216,1
621,0
4738,0
4509,0
4524,1
3879,1
5345,0
2617,0
4938,0
8621,1
9641,0
8695,1
1208,0
4894,1
5533,0
6938,0
8092,0
7891,0
3003,1
7095,1
4386,1
9168,0
7383,1
1701,0
6850,0
7044,0
754,1
4577,1
1690,1
9539,0
1727,0
3684,0
5660,1
8088,1
3499,0
6489,0
7621,0
1084,0
1173,0
7496,1
2439,0
6326,0
4013,1
3992,0
1224,1
248,1
3490,0
8042,1
9004,1
5002,1
4383,1
565,0
616,0
1110,1
2162,0
4108,0
4361,0
2944,0
4857,0
1664,1
5711,0
1104,0
8221,0
8711,0
4752,0
1779,0
4195,0
4460,1
4755,1
5804,1
1403,0
2709,0
663,1
240,0
3983,1
9783,0
22,0
552,1
5999,1
9224,1
79,0
5659,1
2005,0
7152,0
4081,1
8121,1
5390,1
3264,1
8495,1
1700,1
8292,1
2243,1
5835,1
3678,0
8965,0
4841,1
8729,1
7935,0
7453,0
5693,1
7185,1
7488,1
6119,1
3196,0
9378,0
3946,1
2082,1
9480,1
416,1
7907,0
4097,1
4457,0
4186,0
3837,1
4423,0
7078,1
8188,1
5535,0
6917,1
6539,1
6507,0
6705,0
9608,0
3073,0
2595,0
5001,1
5450,1
9567,0
4592,1
160,1
760,1
4009,1
2370,1
4886,1
8038,1
8307,0
6155,0
9485,0
8432,1
8033,0
5815,1
8321,1
4230,0
9663,0
206,0
3405,0
1420,1
3560,1
3527,0
6397,1
7903,0
2801,1
815,1
7193,1
6957,1
3254,1
