,blueWins
1800,0
373,1
6214,1
5247,1
4962,0
6331,1
9098,1
4665,0
1321,1
9182,0
6093,0
4151,1
2654,0
2714,1
907,0
1319,1
9113,1
9097,0
5347,1
8982,1
1869,0
3584,0
9800,1
7312,0
9411,1
5423,1
369,0
1291,0
7472,1
7177,0
4674,0
452,1
2399,0
6225,1
1697,1
5193,0
5111,0
3538,1
8441,1
1843,1
8523,1
88,1
7534,0
6152,1
4877,0
6879,0
3998,0
468,1
7785,1
5373,0
8999,1
4388,0
9385,1
4506,1
8392,0
2998,1
630,1
366,1
1050,0
249,0
72,0
8450,1
675,0
8007,0
5640,1
1148,1
2057,1
3564,0
3469,0
4817,1
873,0
8027,1
5182,0
7539,0
1131,1
710,0
1162,1
3934,0
6203,1
1072,1
8692,0
5084,1
2625,0
5103,0
4396,1
4485,1
1738,1
3846,0
3776,1
246,0
8166,0
9223,0
8615,1
9482,0
7726,1
6462,1
6911,1
3311,1
7072,1
9675,1
5415,0
8740,0
1,0
1369,0
5609,1
1949,1
1852,1
5553,1
7616,0
5154,0
6764,0
8239,1
8957,1
1076,1
5382,0
1830,1
9522,1
3084,1
4004,1
7721,1
4064,0
9613,1
1803,1
1896,1
100,0
3030,0
1788,0
121,0
261,1
3007,1
8228,0
4745,0
4317,0
2496,1
6803,1
7639,0
6425,0
8000,0
4494,0
3592,0
3626,0
8597,1
4582,1
7845,0
1501,0
7169,0
6826,0
5790,0
9618,1
2047,1
3578,1
8080,0
1939,0
5994,1
5029,1
8341,1
1616,0
2272,0
4713,1
5059,0
8990,1
6364,0
6205,1
6739,1
4291,1
3483,0
1146,1
8960,1
6937,1
2315,0
3817,1
7707,0
2979,1
6969,0
2401,1
3432,0
6939,0
7045,0
9820,0
9235,0
6890,1
9765,1
59,0
5235,0
4226,1
5780,1
8189,0
3477,0
1401,0
6109,0
1519,1
7482,1
7749,1
2090,0
5486,1
2221,1
4385,1
8985,0
8686,1
3419,1
8757,0
678,0
1081,1
4702,0
9271,0
4907,0
9491,1
3299,1
9832,0
8013,0
9005,0
8986,1
6561,1
8048,1
3486,0
3338,0
2650,0
8824,1
553,0
8671,1
7582,0
9858,0
4397,1
6779,0
1568,1
3997,0
5092,1
494,0
154,0
9584,0
737,0
3613,1
1993,0
6971,1
9317,0
2764,0
3524,1
3021,0
706,1
4505,0
3457,0
8145,0
1286,1
3881,1
8873,1
6790,1
2676,1
7859,1
7918,0
3800,1
7932,0
9327,1
4608,1
118,0
8214,1
9785,0
9077,0
5098,1
4569,0
3146,1
7821,0
9605,1
883,1
2840,1
5204,1
4657,0
1216,1
7788,1
3127,1
1571,0
9746,1
3710,1
8665,0
6378,0
1182,0
6196,1
4514,0
7762,1
1271,1
5430,1
8037,0
7899,1
6723,0
8482,1
1915,1
6108,1
6449,1
2775,1
9669,0
5981,1
194,0
6605,0
9303,1
6528,1
3357,1
8777,0
6001,1
7774,1
8924,0
7090,1
6842,1
8393,1
6193,0
1988,1
2063,0
2622,1
825,1
1635,0
3397,0
7160,1
6624,0
610,1
3100,0
3316,0
8368,0
7927,1
6099,1
9697,1
775,0
2225,0
6955,0
3566,0
3218,0
3447,0
591,0
808,1
4553,0
8992,0
6821,0
392,1
8253,1
1317,0
2823,1
6966,0
6287,0
1105,1
5900,1
3897,0
4791,0
9704,0
9051,0
1682,0
3866,1
6169,0
4381,0
2246,1
8338,0
7328,0
4585,1
5429,1
3086,0
652,0
3040,0
5489,1
31,1
6988,0
1138,1
7957,0
3572,0
3088,0
4982,0
8211,1
4082,1
7181,1
6231,1
657,1
5060,1
6657,0
6545,0
2810,0
6628,1
